"date","spy_return","qqq_return","iwm_return","tlt_return","gld_return","vxx_return","rv_5","rv_10","rv_21","rv_63","momentum_21","momentum_63","ma_gap_21","ma_gap_63"
2018-04-27,0.000938225016827055,0.000616953280204058,-0.00142159818633836,0.00768356205102183,0.00423204030617885,-0.0246778898177356,0.0171212066449331,0.0240298981701064,0.049359691673866,0.106603402065733,0.0259015990570244,-0.066133040156948,0.00665365759485526,-0.00714818618564084
2018-04-30,-0.00771998727372925,-0.00711974557327455,-0.00889561336383871,0.00176492584015708,-0.00727744165434974,-0.00982478109150087,0.0187806128253279,0.0238744217120294,0.0483195204630342,0.106675373349414,0.00516865144982037,-0.067129925235676,-0.00133204399672637,-0.0136735207208972
2018-05-01,0.00177513830314169,0.0113680591086114,0.00487993669815268,-0.00360797284656922,-0.00708820744333938,0.0321447713381229,0.0131157211650098,0.0214451532047331,0.0431484475480865,0.106190852727125,0.0291683815629105,-0.0557879793197924,-0.000906673372910172,-0.0110046337024845
2018-05-02,-0.00674033812165664,-0.00591486240863492,0.00375718533308689,-0.00109887496602212,-0.000485103166417034,-0.0633431955684722,0.0145382418671839,0.0224672877275889,0.0417736205340157,0.106403397491009,0.00931869291446508,-0.0625962826961421,-0.00805104390126166,-0.0166244572425986
2018-05-03,-0.0022058905153397,-0.000123565979220253,-0.00544622322599331,0.00447125269517379,0.00508206839491354,0.0783387761201517,0.0106736918001199,0.0218791775208145,0.0404553304260437,0.106420198690637,-0.00356669652399111,-0.0635987624867256,-0.0100697561318022,-0.0177522540883654
2018-05-04,0.0128631038529798,0.0187960566707881,0.0124057174774199,0.0015137104614773,0.00208988209292826,-0.0648486656724234,0.0166885251353824,0.0239090482489954,0.0417169367720502,0.104910723125059,0.00143036733887181,-0.030367072560004,0.0026776834926816,-0.00454352648397316
2018-05-07,0.00337793379549467,0.00827537286278002,0.00844043618050083,-0.00159814152298221,0.000240847652591469,-0.0137416089207978,0.0151762678025427,0.0241460249836151,0.0352669975868548,0.0958773192248977,0.0277223803533628,0.0153797748971207,0.00477192122320336,-0.00141505806309927
2018-05-08,0,-0.00102332882125111,0.00495447686145756,-0.000925660825747521,0.000160512469323137,0,0.0150720930337897,0.0199797429937799,0.0349226137792399,0.0938710760874616,0.0226819638666302,-0.00423934234925016,0.00370680960151581,-0.00134766699952493
2018-05-09,0.00961901479652294,0.0108401895096426,0.00537091681070745,-0.00600045738048749,-0.00208898122526424,-0.0244473360463173,0.0165608356093732,0.0220368271915315,0.0326077519345814,0.0942057014509131,0.0164057421497683,0.0108689900555652,0.012619312497127,0.00813124814769495
2018-05-10,0.00930731839868937,0.010311266745135,0.00534232984622918,0.0080199441235953,0.006813368242228,-0.0551133324847353,0.018868531974947,0.0216783116393677,0.0335002227671294,0.0866012333536973,0.0313164103942567,0.0600839553519359,0.0205797501167864,0.0166273713360081
2018-05-11,0.00304652075340961,-0.000943551778565421,0.0019412909444414,0.00251919923424637,-0.00143896663215148,-0.0242635901484727,0.014136596013822,0.0218712189429922,0.0326253584515381,0.0853625010402438,0.0260219611085077,0.0475823199240775,0.0224296488963167,0.0189801225353581
2018-05-14,0.000476480273157165,0.001709266296543,-0.00382353072658415,-0.00529781360251835,-0.00408836306845917,-0.0297431085925268,0.013735353784376,0.0204689776978838,0.0324963576046407,0.0841098755926986,0.0295305703089579,0.0329136864446065,0.0214897232519284,0.0189403581760226
