"date","SPY","QQQ","IWM","TLT","GLD","VXX"
2018-01-25,249.350967407227,159.567794799805,143.513870239258,97.956787109375,127.970001220703,1770.23999023438
2018-01-26,252.237899780273,162.013198852539,144.028244018555,97.5935974121094,128.070007324219,1770.23999023438
2018-01-29,250.56559753418,161.226501464844,143.216049194336,96.9144668579102,127.349998474121,1893.11999511719
2018-01-30,247.995620727539,159.899520874023,141.844375610352,96.3458938598633,126.800003051758,1955.19995117188
2018-01-31,248.118743896484,160.56298828125,141.104385375977,96.9144668579102,127.650001525879,1961.59997558594
2018-02-01,247.837066650391,159.198120117188,141.546615600586,95.5099029541016,128.070007324219,1862.84802246094
2018-02-02,242.441665649414,156.022827148438,138.821243286133,94.6236572265625,126.389999389648,2102.39990234375
2018-02-05,232.302093505859,149.871444702148,133.487869262695,95.5177917480469,126.709999084473,2807.0400390625
2018-02-06,236.879058837891,153.842834472656,135.085144042969,94.9243392944336,125.379997253418,2759.42407226562
2018-02-07,235.594009399414,151.852432250977,135.220550537109,94.0222854614258,124.790000915527,2850.56005859375
2018-02-08,226.757141113281,145.445098876953,131.24983215332,93.9194030761719,124.980003356934,3531.52001953125
2018-02-09,230.163345336914,147.956802368164,132.45002746582,93.3259429931641,124.769996643066,3217.919921875
2018-02-12,233.543197631836,150.582305908203,133.70442199707,93.7373886108398,125.370002746582,3107.19995117188
2018-02-13,234.124145507812,151.359527587891,133.993179321289,94.1567840576172,126.080001831055,3070.080078125
2018-02-14,237.283905029297,154.19352722168,136.402694702148,93.1122665405273,128.229995727539,2718.71997070312
2018-02-15,240.311676025391,157.056015014648,137.891754150391,93.4287719726562,128.380004882812,2656
2018-02-16,240.382049560547,156.354614257812,138.379043579102,93.9352340698242,127.959999084473,2695.67993164062
2018-02-20,238.877014160156,156.667373657227,137.241958618164,93.5237350463867,126.23999786377,2805.76000976562
2018-02-21,237.688766479492,156.221923828125,137.386352539062,92.3763580322266,125.660003662109,2848
2018-02-22,237.996826171875,156.20295715332,137.169799804688,92.6533279418945,126.300003051758,2810.8798828125
2018-02-23,241.790328979492,159.397201538086,138.956604003906,93.4762649536133,126.139999389648,2591.36010742188
2018-02-26,244.598068237305,161.510833740234,139.868057250977,93.5079650878906,126.449996948242,2513.919921875
2018-02-27,241.543899536133,159.510833740234,137.855667114258,93.373405456543,125.129997253418,2714.23999023438
2018-02-28,239.09700012207,158.487258911133,135.680740356445,93.9668960571289,125,2826.23999023438
2018-03-01,235.620407104492,155.899658203125,135.319747924805,94.6083297729492,124.720001220703,3020.80004882812
2018-03-02,236.835021972656,157.33088684082,137.485702514648,93.8391723632812,125.389999389648,2887.67993164062
2018-03-05,239.572387695312,159.074890136719,138.712921142578,93.5854797363281,125.180000305176,2781.43994140625
2018-03-06,240.179672241211,159.747848510742,140.210983276367,93.6727066040039,126.529998779297,2796.15991210938
2018-03-07,240.091613769531,160.11750793457,141.447280883789,93.5696487426758,125.720001220703,2754.56005859375
2018-03-08,241.25341796875,160.998992919922,141.158569335938,94.1088409423828,125.419998168945,2725.76000976562
2018-03-09,245.451843261719,164.126876831055,143.414627075195,93.4903030395508,125.540000915527,2448
2018-03-12,245.143814086914,164.99885559082,143.667297363281,94.0294723510742,125.540000915527,2544.63989257812
2018-03-13,243.559555053711,162.752517700195,142.99951171875,94.505241394043,125.779998779297,2605.43994140625
2018-03-14,242.309585571289,162.724075317383,142.322677612305,95.3377914428711,125.699996948242,2662.39990234375
2018-03-15,242.045654296875,162.581909179688,141.609725952148,95.3377914428711,124.900001525879,2588.15991210938
2018-03-16,242.30810546875,162.098526000977,142.403930664062,94.996826171875,124.599998474121,2515.19995117188
2018-03-19,239.02961730957,158.639923095703,141.032180786133,94.6955337524414,124.870002746582,2775.67993164062
2018-03-20,239.436096191406,159.162094116211,140.996063232422,94.31494140625,124.309997558594,2722.56005859375
2018-03-21,238.976486206055,158.469024658203,141.817321777344,94.4180221557617,126.480003356934,2623.36010742188
2018-03-22,233.002807617188,154.557632446289,138.707565307617,95.353630065918,125.980003356934,3020.80004882812
2018-03-23,228.036422729492,150.484848022461,135.72265625,95.2822494506836,127.610000610352,3200
2018-03-26,234.275253295898,156.076675415039,138.689483642578,94.9175262451172,128.279998779297,2963.19995117188
2018-03-27,230.28987121582,151.025985717773,136.003067016602,95.9324569702148,127.48999786377,3185.919921875
2018-03-28,229.609390258789,149.288665771484,135.95783996582,96.186149597168,125.730003356934,3206.080078125
2018-03-29,232.543212890625,152.022811889648,137.332717895508,96.6540145874023,125.790000915527,3136
2018-04-02,227.523941040039,147.63671875,133.985977172852,96.8446884155273,127.26000213623,3317.76000976562
2018-04-03,230.440032958984,149.298141479492,135.903579711914,96.097785949707,126.300003051758,3175.67993164062
2018-04-04,232.905639648438,151.652587890625,137.631195068359,95.8991470336914,126.449996948242,3115.52001953125
2018-04-05,234.74365234375,152.516464233398,138.770858764648,95.1840362548828,125.800003051758,3031.67993164062
2018-04-06,229.512222290039,148.700057983398,136.003067016602,96.2249526977539,126.389999389648,3187.19995117188
2018-04-09,230.643402099609,149.74430847168,136.165878295898,96.3838577270508,126.819999694824,3187.19995117188
2018-04-10,234.310638427734,153.04817199707,138.73469543457,96.2090072631836,127.120002746582,3187.19995117188
2018-04-11,233.082305908203,152.16520690918,139.033203125,96.5507202148438,128.110000610352,3187.19995117188
2018-04-12,234.999893188477,153.997543334961,139.982971191406,95.8435211181641,126.620002746582,3077.76000976562
2018-04-13,234.310638427734,153.199996948242,139.250289916992,96.0660095214844,127.449996948242,2942.71997070312
2018-04-16,236.237091064453,154.367767333984,140.534713745117,96.097785949707,127.629997253418,2793.60009765625
2018-04-17,238.764465332031,157.690582275391,142.063385009766,96.3599548339844,127.75,2579.19995117188
2018-04-18,238.94123840332,158.01335144043,142.443222045898,95.5892486572266,127.849998474121,2595.84008789062
2018-04-19,237.615707397461,156.560821533203,141.457275390625,94.8105545043945,127.599998474121,2622.080078125
2018-04-20,235.600860595703,154.082962036133,140.697479248047,94.1272125244141,126.629997253418,2695.0400390625
2018-04-23,235.565521240234,153.693725585938,140.489517211914,94.1510162353516,125.620002746582,2662.39990234375
2018-04-24,232.393096923828,150.437423706055,139.684463500977,93.7219467163086,126.230003356934,2661.76000976562
2018-04-25,232.967483520508,150.617797851562,139.47639465332,93.0942459106445,125.410003662109,2851.19995117188
2018-04-26,235.335739135742,153.788619995117,140.11865234375,93.7457809448242,124.970001220703,2717.43994140625
2018-04-27,235.556640625,153.883529663086,139.91960144043,94.4688568115234,125.5,2651.19995117188
2018-04-30,233.745147705078,152.791809082031,138.680450439453,94.6357345581055,124.589996337891,2625.28002929688
2018-05-01,234.160446166992,154.538665771484,139.358856201172,94.2949066162109,123.709999084473,2711.0400390625
2018-05-02,232.587432861328,153.627288818359,139.883438110352,94.1913452148438,123.650001525879,2544.63989257812
2018-05-03,232.074935913086,153.608306884766,139.123672485352,94.6134414672852,124.279998779297,2752
2018-05-04,235.07942199707,156.522842407227,140.8603515625,94.7567672729492,124.540000915527,2579.19995117188
2018-05-07,235.874847412109,157.823501586914,142.054306030273,94.6054534912109,124.569999694824,2544
